price_close,price_high,price_low,price_open,ticker,date
774.39,774.83,744.1,753.99,TSLA,9/24/2021
3249.84,3303.91,3240.03,3279.62,AMZN,1/7/2022
3389.9,3458.44,3384.93,3435.39,AMZN,12/27/2021
2889.8,2897.81,2707.02,2877,AMZN,1/24/2022
851.53,856.81,846.95,851.61,TSLA,1/29/2022
2792.5,2822.65,2748,2797.73,GOOG,1/14/2022
2962.12,2992.48,2952.08,2985.76,GOOG,12/9/2021
3301.12,3355,3297.41,3318.07,AMZN,9/29/2021
2852.66,2857.87,2815.01,2852.53,GOOG,9/24/2021
811.08,815.07,804.88,804.88,TSLA,10/13/2021
3062.16,3072.64,3062.16,3072.64,AMZN,2/12/2022
3444.15,3456,3422,3435.61,AMZN,10/19/2021
2849.04,2951.76,2841,2951.76,GOOG,11/30/2021
3443.72,3569,3436.03,3531,AMZN,12/1/2021
785.49,792,782.45,792,TSLA,10/8/2021
2947.37,2952.64,2855,2882.43,GOOG,12/15/2021
791.36,798.98,768.5,774.21,TSLA,9/27/2021
3540.7,3573.95,3529.35,3565,AMZN,11/16/2021
3380.05,3388.65,3341.5,3346.06,AMZN,9/22/2021
3462.52,3497.82,3452.62,3486.5,AMZN,9/17/2021
2864.06,2870.47,2850.88,2859.46,AMZN,1/22/2022
734.09,741.88,730.18,730.18,TSLA,9/1/2021
2934.09,2988,2927.78,2988,GOOG,12/13/2021
3525.5,3545.33,3490.87,3515,AMZN,9/8/2021
2828.24,2832.45,2765.32,2765.32,GOOG,10/14/2021
3312.75,3330.98,3283.46,3305.31,AMZN,11/2/2021
2847.97,2859.16,2826.32,2849,GOOG,8/24/2021
3392.49,3436.62,3363.19,3364.01,AMZN,10/27/2021
1114,1129.75,1081.2,1081.2,TSLA,10/29/2021
2759.94,2793.66,2726.69,2751.1,GOOG,1/6/2022
2898.27,2913,2882.22,2893.77,GOOG,9/9/2021
793.61,804.9,783.5,784.1,TSLA,10/7/2021
2734.26,2774,2723.36,2774,GOOG,10/12/2021
3488.24,3492.54,3447.44,3476.81,AMZN,9/16/2021
2801.12,2814.85,2771.11,2814.85,GOOG,10/8/2021
3120.01,3196.62,3119.77,3172.99,AMZN,1/19/2022
901.9,937,872.19,883.42,TSLA,2/3/2022
3127,3179.21,3093.21,3134.98,AMZN,2/15/2022
2991,2995.29,2876.67,2876.67,AMZN,1/31/2022
2903.02,2982.14,2844,2930,GOOG,2/3/2022
3179,3230.25,3153.27,3230.24,AMZN,1/18/2022
751.94,753.6,739.01,742.99,TSLA,9/22/2021
2836.53,2847.26,2812.01,2825.88,GOOG,9/23/2021
3283.26,3310,3252.31,3301.75,AMZN,10/1/2021
3247.33,3266.68,3247.33,3257.2,AMZN,10/12/2021
1022,1090.98,1010,1086.77,TSLA,1/7/2022
2747.08,2757.09,2678.29,2727.73,GOOG,10/6/2021
848.26,857.5,792,839.4,TSLA,1/28/2022
1023.5,1187.3,1011.73,1153.8,TSLA,11/9/2021
3446.57,3478.74,3255.22,3434.63,AMZN,10/28/2021
906.79,951,892.9,907.74,TSLA,1/25/2022
870.11,875.13,832.23,843.46,TSLA,10/18/2021
730.17,756.84,718.84,756.52,TSLA,9/20/2021
3288.62,3323.47,3286.7,3311.99,AMZN,10/8/2021
736.27,762.52,733.88,755.1,TSLA,9/10/2021
934.59,950,905,936.79,TSLA,2/1/2022
753.61,844.37,751,831.25,TSLA,2/23/2022
3446.74,3448.46,3380.31,3380.31,AMZN,10/18/2021
1030.14,1037.56,1004.64,1029,TSLA,1/8/2022
2727.69,2764.59,2706,2728.26,GOOG,2/15/2022
775.22,781.5,763.61,775.69,TSLA,10/1/2021
1222.09,1239.7,1208,1219.91,TSLA,11/5/2021
1067.95,1077.66,987.31,1028.37,TSLA,11/10/2021
1065.3,1068.15,1065.3,1066.72,TSLA,12/26/2021
2675.3,2744.98,2624,2744.98,GOOG,10/4/2021
2991.39,3160,2980.6,3120.34,AMZN,1/20/2022
2723.68,2849,2713.63,2849,GOOG,9/28/2021
3411,3413.77,3322.86,3337.01,AMZN,1/3/2022
3472.5,3542.5,3468,3505,AMZN,11/11/2021
3334.55,3387.12,3331.18,3380,AMZN,12/31/2021
1055.24,1060.51,1049.33,1056.04,TSLA,1/16/2022
2922.28,2937.44,2870.05,2892.43,GOOG,11/29/2021
2896,2928.8,2892.05,2921.92,GOOG,12/31/2021
1033.42,1062.69,1019.74,1062.69,TSLA,11/12/2021
846.67,852.86,840.17,851.33,TSLA,2/19/2022
2993.11,2997.1,2691.59,2713,GOOG,2/1/2022
781.53,806.9,776.19,781,TSLA,10/4/2021
735.72,740.36,726.53,735.77,TSLA,8/31/2021
3391.35,3446.55,3383.16,3446.55,AMZN,12/13/2021
3416,3428.06,3380,3381.12,AMZN,9/23/2021
1066.01,1068.87,1062.45,1068.87,TSLA,12/25/2021
909.68,914,894,894,TSLA,10/22/2021
3389.79,3467.32,3341,3438.5,AMZN,12/3/2021
3246.95,3251.03,3244.11,3249.78,AMZN,1/8/2022
2746.01,2784.6,2737.99,2751.56,GOOG,8/17/2021
3572.57,3712,3568,3675,AMZN,11/22/2021
3074.14,3079.69,2982.9,3024.9,AMZN,2/25/2022
2848.3,2889.97,2838.36,2889.97,GOOG,10/20/2021
3507.07,3598.5,3493,3598.5,AMZN,11/30/2021
958.51,967.85,958.51,961,TSLA,12/14/2021
3305,3327.43,3213.45,3230.8,AMZN,1/11/2022
2830.02,2875.99,2811.99,2865.99,GOOG,9/27/2021
2792.93,2832,2778.47,2822.69,GOOG,9/21/2021
2772.5,2796.91,2746,2796.91,GOOG,10/22/2021
1205.45,1208.59,1067,1077,TSLA,1/3/2022
2992.91,2996.71,2921.01,2921.01,GOOG,11/12/2021
2999.05,3037.97,2998.5,3022,GOOG,11/19/2021
2816.72,2884.59,2750,2778.08,AMZN,1/27/2022
859.4,915.59,850.66,905.8,TSLA,2/11/2022
1213.86,1220,1157.2,1157.2,TSLA,11/3/2021
3450,3485.69,3438.13,3464.05,AMZN,9/14/2021
2783.71,2802.75,2764.99,2764.99,GOOG,10/7/2021
1116,1182.68,1062.05,1110,TSLA,11/24/2021
3299.18,3320.51,3285.73,3307.2,AMZN,8/25/2021
2893.66,2897.84,2866.79,2875.69,AMZN,1/29/2022
3523.16,3562.9,3495.02,3555.55,AMZN,12/8/2021
3175.51,3235.55,3155,3201.18,AMZN,2/10/2022
2776.95,2814.4,2776.95,2780.56,GOOG,10/11/2021
2723.54,2747,2675,2683.4,GOOG,10/5/2021
2965.41,2967.55,2933,2933,GOOG,10/29/2021
3225,3235.8,3111,3197.01,AMZN,2/8/2022
3223.51,3324.27,3219.32,3298,AMZN,1/13/2022
3477,3498.2,3349,3368,AMZN,11/4/2021
3109.9,3169.12,3010,3060.43,AMZN,2/14/2022
1003.8,1072,998.02,1067.46,TSLA,12/9/2021
2909.39,2928.52,2861.17,2861.18,GOOG,8/30/2021
3246.3,3319,3238.03,3319,AMZN,10/11/2021
1109.03,1188,1062.81,1167.9,TSLA,11/23/2021
3372.43,3382,3274,3300,AMZN,10/29/2021
3482.05,3604.59,3464,3563.02,AMZN,11/10/2021
865.8,875,851.5,863,TSLA,10/20/2021
3377.42,3500,3364.88,3466.35,AMZN,12/16/2021
3284.28,3284.28,3240.95,3251.25,AMZN,10/13/2021
3299.86,3321.49,3287,3321.49,AMZN,10/14/2021
